,Position,Value,Position_Size,Percentage,Position_Value,Position_purchase_price,Gain_relative,Gain_absolute,Item_ID,Lowest_Listing,Highest_Bid
0,Stockholm 2021 Contenders Sticker Capsule,5.75,419.0,4.24,2409.25,5.58,3.05,71.23,875837,5.75,5.6
1,Stockholm 2021 Challengers Sticker Capsule,14.27,255.0,6.41,3638.85,13.79,3.48,122.4,875971,14.27,13.8
2,Antwerp 2022 Contenders Autograph Capsule,1.2,1105.0,2.33,1326.0,1.2,0.0,0.0,894283,1.2,1.1
3,Stockholm 2021 Legends Sticker Capsule,3.65,399.0,2.56,1456.35,3.6,1.39,19.95,875864,3.65,3.6
4,Sticker | rox (Holo) | Antwerp 2022,182.2,15.0,4.81,2733.0,177.36,2.73,72.6,895464,182.2,176.0
5,Sticker | max (Holo) | Antwerp 2022,24.5,49.0,2.11,1200.5,23.1,6.06,68.6,895634,24.5,23.0
6,Sticker | ropz (Holo) | Antwerp 2022,29.93,16.0,0.84,478.88,27.4,9.23,40.48,895431,30.9,28.0
7,Sticker | FURIA (Holo) | Antwerp 2022,15.44,28.0,0.76,432.32,15.6,-1.03,-4.48,894182,15.44,15.1
8,Sticker | Cloud9 (Holo) | Antwerp 2022,29.88,22.0,1.16,657.36,30.0,-0.4,-2.64,894316,29.88,29.3
9,Sticker | Team Liquid (Holo) | Stockholm 2021,7.34,57.0,0.74,418.38,7.3,0.55,2.28,875982,7.34,7.3
10,Sticker | MOUZ (Gold) | Stockholm 2021,603.33,1.0,1.06,603.33,570.0,5.85,33.33,876160,625.0,560.0
11,Sticker | Virtus.Pro (Holo) | Stockholm 2021,18.94,0.0,0.0,0.0,6.22,204.5,0.0,875980,18.94,18.5
12,Sticker | Team Liquid (Holo) | Antwerp 2022,11.4,0.0,0.0,0.0,0.0,inf,0.0,895343,11.4,11.1
13,Sticker | 9z Team (Holo) | Antwerp 2022,12.09,1.0,0.02,12.09,11.8,2.46,0.29,894383,12.09,11.9
