Position,Rarity,Tournament,Rating,Value,Quantity,Percentage,Position_Value,Position_purchase_price
Stockholm Contenders,None,None,None,5.5,0,21.0,9999.36,0
Stockholm Challengers,None,None,None,12.44,0,21.0,9999.36,0
Antwerp Contenders Autograph,None,None,None,1.18,0,15.0,7142.4,0
Stockholm Legends,None,None,None,3.24,0,10.0,4761.6,0
Liquid Fire,Holo,S,None,50.8,0,3.45,1642.75,0
Rox,Holo,AW,S,179.5,0,3.0,1428.48,0
Max,Holo,AW,A+,23.9,0,2.0,952.32,0
Ropz,Holo,AW,A,28.17,0,1.8,857.09,0
Furia,Holo,AW,A,15.7,0,0.8,380.93,0
C9,Holo,AW,A,30.3,0,1.5,714.24,0
Liquid,Holo,SH,A,7.03,0,0.75,357.12,0
Mouz,Gold,SH,A,580.0,0,1.0,476.16,0
VP,Holo,SH,A,17.88,0,1.75,833.28,0
Liquid,Holo,AW,A-,11.0,0,0.75,357.12,0
9z,Holo,AW,A-,11.1,0,1.2,571.39,0
Eternal Fire,Holo,SH,A-,10.25,0,0.9,428.54,0
Entropiq,Holo,SH,A-,12.5,0,1.5,714.24,0
Furia,Holo,SH,A-,15.5,0,0.8,380.93,0
Mouz,Holo,SH,A-,60.29,0,2.0,952.32,0
paiN,Holo,SH,A-,16.75,0,1.5,714.24,0
Natus,Holo,SH,A-B,10.2,0,0.8,380.93,0
Copenhagen Flames,Holo,SH,A-B,18.09,0,0.8,380.93,0
Imperial,Holo,AW,A-B,17.1,0,1.1,523.78,0
Movistar Riders,Holo,SH,A-B,18.07,0,1.0,476.16,0
Natus,Holo,AW,B-,10.9,0,0.6,285.7,0
G2,Holo,SH,B-,8.79,0,0.5,238.08,0
Tyloo,Holo,SH,B+,14.05,0,1.0,476.16,0
Faze,Holo,SH,B-C,8.91,0,0.8,380.93,0
G2,Holo,AW,B-C,12.3,0,0.5,238.08,0
Heroic,Holo,AW,B-C,2.88,0,0.6,285.7,0
Astralis,Holo,SH,C+,13.71,0,0.6,285.7,0
