Position,Rarity,Tournament,URL
Stockholm Contenders,None,None,https://buff.163.com/goods/875837?from=market#tab=selling&sort_by=default
Stockholm Challengers,None,None,https://buff.163.com/goods/875971?from=market#tab=selling&sort_by=default
Antwerp Contenders Autograph,None,None,https://buff.163.com/goods/894283?from=market#tab=selling&sort_by=default
Stockholm Legends,None,None,https://buff.163.com/goods/875864?from=market#tab=selling&sort_by=default
Liquid Fire,Holo,None,https://buff.163.com/goods/871554?from=market#tab=selling&sort_by=default
Rox,Holo,AW,https://buff.163.com/goods/895464?from=market#tab=selling&sort_by=default
Max,Holo,AW,https://buff.163.com/goods/895634?from=market#tab=selling&sort_by=default
Ropz,Holo,AW,https://buff.163.com/goods/895431?from=market#tab=selling&sort_by=default
Furia,Holo,AW,https://buff.163.com/goods/894182?from=market#tab=selling&sort_by=default
C9,Holo,AW,https://buff.163.com/goods/894316?from=market#tab=selling&sort_by=default
Liquid,Holo,SH,https://buff.163.com/goods/875982?from=market#tab=selling&sort_by=default
Mouz,Gold,SH,https://buff.163.com/goods/876160?from=market#tab=selling&sort_by=default
VP,Holo,SH,https://buff.163.com/goods/875980?from=market#tab=selling&sort_by=default
Liquid,Holo,AW,https://buff.163.com/goods/895343?from=market#tab=selling&sort_by=default
9z,Holo,AW,https://buff.163.com/goods/894383?from=market#tab=selling&sort_by=default
Eternal Fire,Holo,AW,https://buff.163.com/goods/894364?from=market#tab=selling&sort_by=default
Entropiq,Holo,SH,https://buff.163.com/goods/875981?from=market#tab=selling&sort_by=default
Furia,Holo,SH,https://buff.163.com/goods/875969?from=market#tab=selling&sort_by=default
Mouz,Holo,SH,https://buff.163.com/goods/876070?from=market#tab=selling&sort_by=default
paiN,Holo,SH,https://buff.163.com/goods/876123?from=market#tab=selling&sort_by=default
Natus,Holo,SH,https://buff.163.com/goods/875977?from=market#tab=selling&sort_by=default
Copenhagen Flames,Holo,SH,https://buff.163.com/goods/876034?from=market#tab=selling&sort_by=default
Imperial,Holo,AW,https://buff.163.com/goods/894346?from=market#tab=selling&sort_by=default
Movistar Riders,Holo,SH,https://buff.163.com/goods/876065?from=market#tab=selling&sort_by=default
Natus,Holo,AW,https://buff.163.com/goods/894280?from=market#tab=selling&sort_by=default
G2,Holo,SH,https://buff.163.com/goods/875983?from=market#tab=selling&sort_by=default
Tyloo,Holo,SH,https://buff.163.com/goods/876043?from=market#tab=selling&sort_by=default
Faze,Holo,SH,https://buff.163.com/goods/876072?from=market#tab=selling&sort_by=default
G2,Holo,AW,https://buff.163.com/goods/895340?from=market#tab=selling&sort_by=default
Heroic,Holo,AW,https://buff.163.com/goods/894259?from=market#tab=selling&sort_by=default
Astralis,Holo,SH,https://buff.163.com/goods/876016?from=market#tab=selling&sort_by=default
