,Position,Percentage
0,Stockholm 2021 Contenders Sticker Capsule,21.0
1,Stockholm 2021 Challengers Sticker Capsule,21.0
2,Antwerp 2022 Contenders Autograph Capsule,15.0
3,Stockholm 2021 Legends Sticker Capsule,10.0
4,Sticker | rox (Holo) | Antwerp 2022,3.5
5,Sticker | max (Holo) | Antwerp 2022,1.5
6,Sticker | ropz (Holo) | Antwerp 2022,1.8
7,Sticker | FURIA (Holo) | Antwerp 2022,0.8
8,Sticker | Cloud9 (Holo) | Antwerp 2022,1.5
9,Sticker | Team Liquid (Holo) | Stockholm 2021,0.75
10,Sticker | MOUZ (Gold) | Stockholm 2021,1.0
11,Sticker | Virtus.Pro (Holo) | Stockholm 2021,1.75
12,Sticker | Team Liquid (Holo) | Antwerp 2022,0.75
13,Sticker | 9z Team (Holo) | Antwerp 2022,1.2
14,Sticker | Entropiq (Holo) | Stockholm 2021,1.5
15,Sticker | FURIA (Holo) | Stockholm 2021,0.8
16,Sticker | MOUZ (Holo) | Stockholm 2021,2.0
17,Sticker | paiN Gaming (Holo) | Stockholm 2021,1.5
18,Sticker | Natus Vincere (Holo) | Stockholm 2021,0.8
19,Sticker | Copenhagen Flames (Holo) | Stockholm 2021,0.8
20,Sticker | Imperial Esports (Holo) | Antwerp 2022,1.1
21,Sticker | Movistar Riders (Holo) | Stockholm 2021,1.0
22,Sticker | Natus Vincere (Holo) | Antwerp 2022,0.6
23,Sticker | G2 Esports (Holo) | Stockholm 2021,0.5
24,Sticker | Tyloo (Holo) | Stockholm 2021,1.0
25,Sticker | FaZe Clan (Holo) | Stockholm 2021,0.8
26,Sticker | G2 Esports (Holo) | Antwerp 2022,0.5
27,Sticker | Heroic (Holo) | Antwerp 2022,0.6
28,Sticker | Astralis (Holo) | Stockholm 2021,0.6
29,Sticker | Liquid Fire (Holo),3.45
30,Sticker | Eternal Fire (Holo) | Antwerp 2022,0.9
